player_name,player_id,team,season,strength,gp_r,points_r,gp_p,points_p,gp_r_career,gp_p_career,points_r_career,points_p_career,ppg_r_career,career_ppg_diff,fail,under_perform,career_games,career_playoff_games,delta_p_ppg,delta_diff_ppg
Mark Giordano,8470966,Calgary Flames,2019,all,78,74,5,2,160,5,112,2,0.7,-0.29999999999999993,yes,1,460,33,NA,NA
Mark Giordano,8470966,Calgary Flames,2020,all,60,31,10,3,220,15,143,5,0.65,-0.3166666666666667,yes,1,460,33,-0.06666666666666671,-0.016666666666666774
Mark Giordano,8470966,Toronto Maple Leafs,2022,all,75,35,7,2,351,22,204,7,0.5811965811965812,-0.26301476301476306,yes,1,460,33,-0.015151515151515138,0.05365190365190364
Mark Giordano,8470966,Toronto Maple Leafs,2023,all,76,24,11,2,427,33,228,9,0.5339578454332553,-0.2612305727059826,yes,1,460,33,-0.04545454545454547,0.0017841903087804645
Mark Jankowski,8476873,Calgary Flames,2019,all,79,32,5,0,151,5,57,0,0.37748344370860926,-0.37748344370860926,yes,1,215,10,NA,NA
Mark Jankowski,8476873,Calgary Flames,2020,all,54,7,5,0,205,10,64,0,0.3121951219512195,-0.3121951219512195,yes,1,215,10,0,0.06528832175738974
Mark Letestu,8473914,Columbus Blue Jackets,2018,all,80,23,6,0,80,6,23,0,0.2875,-0.2875,yes,1,86,6,NA,NA
Mark Pysyk,8475796,Florida Panthers,2020,all,57,18,4,0,208,4,45,0,0.21634615384615385,-0.21634615384615385,yes,1,212,4,NA,NA
Mark Scheifele,8476460,Winnipeg Jets,2018,all,60,60,17,20,60,17,60,20,1,0.17647058823529416,no,0,449,33,NA,NA
Mark Scheifele,8476460,Winnipeg Jets,2019,all,82,84,6,5,142,23,144,25,1.0140845070422535,0.07287201469687687,yes,1,449,33,-0.08951406649616378,-0.10359857353841728
Mark Scheifele,8476460,Winnipeg Jets,2020,all,71,73,1,0,213,24,217,25,1.0187793427230047,0.022887323943661997,yes,1,449,33,-0.045289855072463636,-0.04998469075321488
Mark Scheifele,8476460,Winnipeg Jets,2021,all,56,63,5,5,269,29,280,30,1.0408921933085502,-0.006409434687860482,yes,0,449,33,-0.007183908045977017,-0.02929675863152248
Mark Scheifele,8476460,Winnipeg Jets,2023,all,80,66,4,1,416,33,416,31,1,-0.06060606060606055,yes,1,449,33,-0.09508881922675028,-0.05419662591820007
Mark Stone,8475913,Vegas Golden Knights,2019,all,77,73,7,12,135,7,135,12,1,0.7142857142857142,no,0,402,64,NA,NA
Mark Stone,8475913,Vegas Golden Knights,2020,all,68,68,17,12,203,24,203,24,1,0,yes,1,402,64,-0.7142857142857142,-0.7142857142857142
Mark Stone,8475913,Vegas Golden Knights,2021,all,55,61,19,8,258,43,264,32,1.0232558139534884,-0.2790697674418605,yes,1,402,64,-0.2558139534883721,-0.2790697674418605
Mark Stone,8475913,Vegas Golden Knights,2023,all,43,38,21,22,338,64,332,54,0.9822485207100592,-0.1384985207100592,no,0,402,64,0.0995639534883721,0.14057124673180132
Markus Hannikainen,8478541,Columbus Blue Jackets,2019,all,41,7,1,0,70,1,13,0,0.18571428571428572,-0.18571428571428572,yes,1,71,1,NA,NA
Markus Nutivaara,8478906,Columbus Blue Jackets,2018,all,60,23,6,0,60,6,23,0,0.38333333333333336,-0.38333333333333336,yes,1,216,14,NA,NA
Markus Nutivaara,8478906,Columbus Blue Jackets,2019,all,77,21,2,0,137,8,44,0,0.32116788321167883,-0.32116788321167883,yes,1,216,14,0,0.06216545012165453
Markus Nutivaara,8478906,Columbus Blue Jackets,2020,all,36,9,1,0,173,9,53,0,0.3063583815028902,-0.3063583815028902,yes,1,216,14,0,0.014809501708788642
Markus Nutivaara,8478906,Florida Panthers,2021,all,29,10,5,0,202,14,63,0,0.3118811881188119,-0.3118811881188119,yes,1,216,14,0,-0.005522806615921694
Martin Fehervary,8480796,Washington Capitals,2020,all,7,1,1,0,7,1,1,0,0.14285714285714285,-0.14285714285714285,yes,1,92,7,NA,NA
Martin Fehervary,8480796,Washington Capitals,2022,all,78,17,6,0,85,7,18,0,0.21176470588235294,-0.21176470588235294,yes,1,92,7,0,-0.06890756302521009
Martin Jones,8474889,San Jose Sharks,2018,all,12,30,1,2,12,1,30,2,2.5,-0.5,yes,1,36,8,NA,NA
Martin Jones,8474889,San Jose Sharks,2019,all,16,35,7,16,28,8,65,18,2.3214285714285716,-0.07142857142857162,yes,0,36,8,0.25,0.4285714285714284
Martin Marincin,8475716,Toronto Maple Leafs,2020,all,26,4,3,0,52,3,9,0,0.17307692307692307,-0.17307692307692307,yes,1,55,3,NA,NA
Martin Necas,8480039,Carolina Hurricanes,2020,all,63,36,8,4,71,8,38,4,0.5352112676056338,-0.035211267605633756,yes,0,328,47,NA,NA
Martin Necas,8480039,Carolina Hurricanes,2021,all,53,41,11,5,124,19,79,9,0.6370967741935484,-0.1634125636672326,yes,1,328,47,-0.026315789473684237,-0.12820129606159886
Martin Necas,8480039,Carolina Hurricanes,2022,all,75,40,14,5,199,33,119,14,0.5979899497487438,-0.1737475255063195,yes,1,328,47,-0.04944178628389151,-0.010334961839086887
Martin Necas,8480039,Carolina Hurricanes,2023,all,82,71,14,7,281,47,190,21,0.6761565836298933,-0.22934807299159543,yes,1,328,47,0.022566086395873597,-0.05560054748527593
Mason Appleton,8478891,Winnipeg Jets,2020,all,41,8,1,0,74,1,18,0,0.24324324324324326,-0.24324324324324326,yes,1,253,14,NA,NA
Mason Appleton,8478891,Winnipeg Jets,2021,all,56,25,8,3,130,9,43,3,0.33076923076923076,0.002564102564102555,no,0,253,14,0.3333333333333333,0.2458073458073458
Mason Appleton,8478891,Winnipeg Jets,2023,all,41,16,5,0,239,14,80,3,0.33472803347280333,-0.12044231918708906,yes,1,253,14,-0.11904761904761904,-0.12300642175119161
Mason Marchment,8478975,Florida Panthers,2021,all,33,10,6,2,37,6,11,2,0.2972972972972973,0.036036036036036,no,0,185,27,NA,NA
Mason Marchment,8478975,Florida Panthers,2022,all,54,47,4,1,91,10,58,3,0.6373626373626373,-0.33736263736263733,yes,1,185,27,-0.033333333333333326,-0.37339867339867333
Mason Marchment,8478975,Dallas Stars,2023,all,67,30,17,6,158,27,88,9,0.5569620253164557,-0.22362869198312235,yes,1,185,27,0.033333333333333326,0.11373394537951498
Mathew Barzal,8478445,New York Islanders,2019,all,82,62,8,7,164,8,147,7,0.8963414634146342,-0.021341463414634165,yes,0,471,55,NA,NA
Mathew Barzal,8478445,New York Islanders,2020,all,68,60,22,17,232,30,207,24,0.8922413793103449,-0.09224137931034482,yes,1,471,55,-0.07499999999999996,-0.07089991589571065
Mathew Barzal,8478445,New York Islanders,2021,all,55,45,19,14,287,49,252,38,0.8780487804878049,-0.10253857640617225,yes,1,471,55,-0.02448979591836742,-0.010297197095827437
